Date,Open,High,Low,Close,Adj Close,Volume
2019-06-07,199.100006,201.899994,194.449997,195.899994,181.032578,19224971
2019-06-10,197.600006,203.300003,196.699997,202.199997,186.854462,5435689
2019-06-11,202.899994,203.899994,198.850006,199.550003,184.405579,5822657
2019-06-12,198.300003,202.699997,195.050003,196.600006,181.679474,6970853
2019-06-13,196.250000,201.100006,195.550003,195.550003,180.709152,9267966
2019-06-14,198.300003,203.000000,197.300003,199.949997,184.775223,5657656
2019-06-17,204.399994,206.300003,200.500000,203.199997,187.778564,5393557
2019-06-18,202.800003,207.300003,198.399994,204.800003,189.257141,7927515
2019-06-19,204.699997,207.000000,202.100006,205.500000,189.904022,5654763
2019-06-20,207.100006,208.800003,205.899994,206.300003,190.643311,6805421
2019-06-21,206.399994,211.300003,205.899994,206.699997,191.012939,22725833
2019-06-24,207.399994,208.100006,203.899994,206.300003,190.643311,5610431
2019-06-25,202.000000,204.600006,193.399994,196.699997,181.771866,15814403
2019-06-26,197.949997,203.300003,197.149994,200.300003,185.098663,6845986
2019-06-27,199.300003,212.100006,199.300003,212.100006,196.003128,11639255
2019-06-28,211.500000,214.800003,208.399994,211.899994,195.818298,5593940
2019-07-01,216.399994,218.100006,210.000000,210.800003,194.801788,4206326
2019-07-02,210.399994,210.699997,205.800003,209.899994,193.970078,3727236
2019-07-03,209.000000,213.199997,206.399994,211.699997,195.633484,4862702
2019-07-04,212.800003,216.199997,212.800003,213.699997,197.481689,2828808
2019-07-05,214.000000,214.800003,210.399994,211.199997,195.171417,3783525
2019-07-08,211.800003,215.800003,209.600006,210.600006,194.616974,6409719
2019-07-09,210.699997,211.600006,207.300003,211.500000,195.448654,4523587
2019-07-10,210.100006,214.500000,209.500000,210.100006,194.154907,3414158
2019-07-11,211.699997,214.100006,209.300003,213.199997,197.019638,3262252
2019-07-12,213.000000,218.899994,213.000000,218.000000,201.455353,5111400
2019-07-15,218.800003,219.399994,214.800003,217.600006,201.085724,3090877
2019-07-16,219.000000,220.899994,216.600006,218.800003,202.194641,5702349
2019-07-17,219.600006,221.399994,216.100006,219.699997,203.026337,4242437
2019-07-18,218.500000,219.199997,214.800003,216.100006,199.699554,7092270
2019-07-19,218.300003,222.199997,217.100006,221.600006,204.782150,3774136
2019-07-22,221.899994,226.800003,221.500000,223.600006,206.630356,6001553
2019-07-23,225.000000,228.899994,223.199997,225.899994,208.755798,4197252
2019-07-24,225.500000,226.800003,217.000000,224.000000,207.000000,8240664
2019-07-25,209.300003,213.199997,205.199997,208.399994,208.399994,8092098
2019-07-26,211.399994,213.899994,206.500000,208.100006,208.100006,6911351
2019-07-29,209.000000,225.356995,206.210007,209.000000,209.000000,4352228
2019-07-30,209.199997,226.492004,207.800003,208.699997,208.699997,6583046
2019-07-31,208.800003,213.404007,208.800003,209.699997,209.699997,8739798
2019-08-01,209.800003,230.850006,208.500000,212.800003,212.800003,4194854
2019-08-02,210.000000,225.895004,207.699997,211.100006,211.100006,5653384
2019-08-05,207.600006,223.871002,204.699997,205.199997,205.199997,6940006
2019-08-06,204.399994,224.395004,204.399994,205.399994,205.399994,4841880
2019-08-07,206.699997,223.667999,204.604996,206.699997,206.699997,3563779
2019-08-08,208.800003,211.399994,207.507996,210.899994,210.899994,5156902
2019-08-09,210.300003,211.699997,207.100006,209.000000,209.000000,5305553
2019-08-12,209.899994,211.500000,204.500000,204.800003,204.800003,3107064
2019-08-13,204.199997,208.000000,200.899994,205.399994,205.399994,3461014
2019-08-14,205.000000,205.369995,192.449997,194.899994,194.899994,7219433
2019-08-15,194.899994,196.389999,186.802994,188.399994,188.399994,6734895
2019-08-16,189.600006,193.500000,189.276001,192.750000,192.750000,3988590
2019-08-19,194.500000,199.899994,193.705002,199.800003,199.800003,8393732
2019-08-20,198.550003,198.550003,188.149994,189.649994,189.649994,14755351
2019-08-21,190.000000,192.649994,189.550003,191.100006,191.100006,12622262
2019-08-22,190.550003,204.399994,190.550003,198.750000,198.750000,5582901
2019-08-23,198.050003,204.164001,196.636002,201.000000,201.000000,4835451
2019-08-27,201.000000,209.500000,200.100006,206.899994,206.899994,6734953
2019-08-28,205.300003,208.300003,203.100006,203.899994,203.899994,4293318
2019-08-29,203.399994,208.000000,203.399994,208.000000,208.000000,3525121
2019-08-30,208.699997,210.199997,204.718002,206.100006,206.100006,6884286
2019-09-02,204.899994,210.000000,204.768005,206.600006,206.600006,2451037
2019-09-03,204.500000,210.800003,204.300003,210.800003,210.800003,4069257
2019-09-04,209.399994,219.699997,209.399994,217.399994,217.399994,5893383
2019-09-05,217.300003,224.300003,214.050995,222.300003,222.300003,4803903
2019-09-06,223.100006,226.710007,219.500000,224.300003,224.300003,3141961
